Horas de Irrigação,Área Irrigada,Área Irrigada por Ângulo
1,100,66.66666666666667
2,200,133.33333333333334
3,300,200.0
4,400,266.6666666666667
5,500,333.3333333333333
6,600,400.0
7,700,466.6666666666667
8,800,533.3333333333334
9,900,600.0
10,1000,666.6666666666666
11,1100,733.3333333333334
12,1200,800.0
13,1300,866.6666666666666
14,1400,933.3333333333334
15,1500,1000.0
16,1600,1066.6666666666667
17,1700,1133.3333333333333
18,1800,1200.0
19,1900,1266.6666666666667
20,2000,1333.3333333333333
21,2100,1400.0
22,2200,1466.6666666666667
23,2300,1533.3333333333333
24,2400,1600.0
25,2500,1666.6666666666667
26,2600,1733.3333333333333
27,2700,1800.0
28,2800,1866.6666666666667
29,2900,1933.3333333333333
30,3000,2000.0
31,3100,2066.6666666666665
32,3200,2133.3333333333335
33,3300,2200.0
34,3400,2266.6666666666665
35,3500,2333.3333333333335
36,3600,2400.0
37,3700,2466.6666666666665
38,3800,2533.3333333333335
39,3900,2600.0
40,4000,2666.6666666666665
41,4100,2733.3333333333335
42,4200,2800.0
43,4300,2866.6666666666665
44,4400,2933.3333333333335
45,4500,3000.0
46,4600,3066.6666666666665
47,4700,3133.3333333333335
48,4800,3200.0
49,4900,3266.6666666666665
50,5000,3333.3333333333335
51,5100,3400.0
52,5200,3466.6666666666665
53,5300,3533.3333333333335
54,5400,3600.0
55,5500,3666.6666666666665
56,5600,3733.3333333333335
57,5700,3800.0
58,5800,3866.6666666666665
59,5900,3933.3333333333335
60,6000,4000.0
61,6100,4066.6666666666665
62,6200,4133.333333333333
63,6300,4200.0
64,6400,4266.666666666667
65,6500,4333.333333333333
66,6600,4400.0
67,6700,4466.666666666667
68,6800,4533.333333333333
69,6900,4600.0
70,7000,4666.666666666667
71,7100,4733.333333333333
72,7200,4800.0
73,7300,4866.666666666667
74,7400,4933.333333333333
75,7500,5000.0
76,7600,5066.666666666667
77,7700,5133.333333333333
78,7800,5200.0
79,7900,5266.666666666667
80,8000,5333.333333333333
81,8100,5400.0
82,8200,5466.666666666667
83,8300,5533.333333333333
84,8400,5600.0
85,8500,5666.666666666667
86,8600,5733.333333333333
87,8700,5800.0
88,8800,5866.666666666667
89,8900,5933.333333333333
90,9000,6000.0
91,9100,6066.666666666667
92,9200,6133.333333333333
93,9300,6200.0
94,9400,6266.666666666667
95,9500,6333.333333333333
96,9600,6400.0
97,9700,6466.666666666667
98,9800,6533.333333333333
99,9900,6600.0
100,10000,6666.666666666667
101,10100,6733.333333333333
102,10200,6800.0
103,10300,6866.666666666667
104,10400,6933.333333333333
105,10500,7000.0
106,10600,7066.666666666667
107,10700,7133.333333333333
108,10800,7200.0
109,10900,7266.666666666667
110,11000,7333.333333333333
111,11100,7400.0
112,11200,7466.666666666667
113,11300,7533.333333333333
114,11400,7600.0
115,11500,7666.666666666667
116,11600,7733.333333333333
117,11700,7800.0
118,11800,7866.666666666667
119,11900,7933.333333333333
120,12000,8000.0
121,12100,8066.666666666667
122,12200,8133.333333333333
123,12300,8200.0
124,12400,8266.666666666666
125,12500,8333.333333333334
126,12600,8400.0
127,12700,8466.666666666666
128,12800,8533.333333333334
129,12900,8600.0
130,13000,8666.666666666666
131,13100,8733.333333333334
132,13200,8800.0
133,13300,8866.666666666666
134,13400,8933.333333333334
135,13500,9000.0
136,13600,9066.666666666666
137,13700,9133.333333333334
138,13800,9200.0
139,13900,9266.666666666666
140,14000,9333.333333333334
141,14100,9400.0
142,14200,9466.666666666666
143,14300,9533.333333333334
144,14400,9600.0
145,14500,9666.666666666666
146,14600,9733.333333333334
147,14700,9800.0
148,14800,9866.666666666666
149,14900,9933.333333333334
150,15000,10000.0
151,15100,10066.666666666666
152,15200,10133.333333333334
153,15300,10200.0
154,15400,10266.666666666666
155,15500,10333.333333333334
156,15600,10400.0
157,15700,10466.666666666666
158,15800,10533.333333333334
159,15900,10600.0
160,16000,10666.666666666666
161,16100,10733.333333333334
162,16200,10800.0
163,16300,10866.666666666666
164,16400,10933.333333333334
165,16500,11000.0
166,16600,11066.666666666666
167,16700,11133.333333333334
168,16800,11200.0
169,16900,11266.666666666666
170,17000,11333.333333333334
171,17100,11400.0
172,17200,11466.666666666666
173,17300,11533.333333333334
174,17400,11600.0
175,17500,11666.666666666666
176,17600,11733.333333333334
177,17700,11800.0
178,17800,11866.666666666666
179,17900,11933.333333333334
180,18000,12000.0
181,18100,12066.666666666666
182,18200,12133.333333333334
183,18300,12200.0
184,18400,12266.666666666666
185,18500,12333.333333333334
186,18600,12400.0
187,18700,12466.666666666666
188,18800,12533.333333333334
189,18900,12600.0
190,19000,12666.666666666666
191,19100,12733.333333333334
192,19200,12800.0
193,19300,12866.666666666666
194,19400,12933.333333333334
195,19500,13000.0
196,19600,13066.666666666666
197,19700,13133.333333333334
198,19800,13200.0
199,19900,13266.666666666666
200,20000,13333.333333333334
201,20100,13400.0
202,20200,13466.666666666666
203,20300,13533.333333333334
204,20400,13600.0
205,20500,13666.666666666666
206,20600,13733.333333333334
207,20700,13800.0
208,20800,13866.666666666666
209,20900,13933.333333333334
210,21000,14000.0
211,21100,14066.666666666666
212,21200,14133.333333333334
213,21300,14200.0
214,21400,14266.666666666666
215,21500,14333.333333333334
216,21600,14400.0
217,21700,14466.666666666666
218,21800,14533.333333333334
219,21900,14600.0
220,22000,14666.666666666666
221,22100,14733.333333333334
222,22200,14800.0
223,22300,14866.666666666666
224,22400,14933.333333333334
225,22500,15000.0
226,22600,15066.666666666666
227,22700,15133.333333333334
228,22800,15200.0
229,22900,15266.666666666666
230,23000,15333.333333333334
231,23100,15400.0
232,23200,15466.666666666666
233,23300,15533.333333333334
234,23400,15600.0
235,23500,15666.666666666666
236,23600,15733.333333333334
237,23700,15800.0
238,23800,15866.666666666666
239,23900,15933.333333333334
240,24000,16000.0
241,24100,16066.666666666666
242,24200,16133.333333333334
243,24300,16200.0
244,24400,16266.666666666666
245,24500,16333.333333333334
246,24600,16400.0
247,24700,16466.666666666668
248,24800,16533.333333333332
249,24900,16600.0
250,25000,16666.666666666668
251,25100,16733.333333333332
252,25200,16800.0
253,25300,16866.666666666668
254,25400,16933.333333333332
255,25500,17000.0
256,25600,17066.666666666668
257,25700,17133.333333333332
258,25800,17200.0
259,25900,17266.666666666668
260,26000,17333.333333333332
261,26100,17400.0
262,26200,17466.666666666668
263,26300,17533.333333333332
264,26400,17600.0
265,26500,17666.666666666668
266,26600,17733.333333333332
267,26700,17800.0
268,26800,17866.666666666668
269,26900,17933.333333333332
270,27000,18000.0
271,27100,18066.666666666668
272,27200,18133.333333333332
273,27300,18200.0
274,27400,18266.666666666668
275,27500,18333.333333333332
276,27600,18400.0
277,27700,18466.666666666668
278,27800,18533.333333333332
279,27900,18600.0
280,28000,18666.666666666668
281,28100,18733.333333333332
282,28200,18800.0
283,28300,18866.666666666668
284,28400,18933.333333333332
285,28500,19000.0
286,28600,19066.666666666668
287,28700,19133.333333333332
288,28800,19200.0
289,28900,19266.666666666668
290,29000,19333.333333333332
291,29100,19400.0
292,29200,19466.666666666668
293,29300,19533.333333333332
294,29400,19600.0
295,29500,19666.666666666668
296,29600,19733.333333333332
297,29700,19800.0
298,29800,19866.666666666668
299,29900,19933.333333333332
